date,boss,item_name,ilvl,slot,player,award_type,note,record_id,item_entry
2026-08-13,Чудовища Нордскола,Сапоги суровой зимы,258,feet,,,не роздан авто — впиши получателя,9265121,47423
2026-08-13,Чудовища Нордскола,Хауберк непомерного уродства,258,chest,Серёжка,off,авто счёл ОФФ — проверь,9265121,47415
2026-08-13,Чудовища Нордскола,Забытая преграда,258,one_hand,Bloodkiss,off,авто счёл ОФФ — проверь,9265121,47421
2026-08-13,Лорд Джараксус,Ремень кровавой бани,258,waist,Arkeli,main,,9265247,47429
2026-08-13,Лорд Джараксус,Башмаки занимающейся зари,258,feet,Iyos,main,,9265247,47430
2026-08-13,Лорд Джараксус,Жилет злосчастной судьбы,258,chest,Garoshik,off,авто счёл ОФФ — проверь,9265247,47431
2026-08-13,Валь'киры-близнецы,Наголенники безжалостного правосудия,258,feet,Fexler,main,,9265650,47457
2026-08-13,Валь'киры-близнецы,Одежды небесного ткача,258,chest,Колбассенкоо,main,,9265650,47462
2026-08-13,Валь'киры-близнецы,Таинственное очарование,258,one_hand,Sayashiro,main,,9265650,47470
2026-08-13,Ануб'арак,Глефа геллиона,258,two_hand,Fexler,main,,9265923,47491
2026-08-13,Ануб'арак,Мощь Неруба,258,back,Urshifu,main,,9265923,47481
2026-08-13,Ануб'арак,Панцирь струящихся элементов,258,chest,Ashqdexe,off,авто счёл ОФФ — проверь,9265923,47486
2026-08-13,Ануб'арак,Конец страданий,258,one_hand,Жестканехилю,main,,9265923,47483
2026-08-13,Груул Драконобой,Поножи павшего заступника,245,unknown,,,не роздан авто — впиши получателя,9267314,29767
2026-08-13,Груул Драконобой,Поножи павшего воителя,245,unknown,,,не роздан авто — впиши получателя,9267314,29766
2026-08-13,Груул Драконобой,Трофей из драконьего хребта,245,trinket,,,не роздан авто — впиши получателя,9267314,28830
2026-08-13,Груул Драконобой,Топор с перьями раптора,245,one_hand,Iyos,main,,9267314,158814
2026-08-13,Магтеридон,Нагрудный доспех павшего воителя,245,unknown,,,не роздан авто — впиши получателя,9267442,29754
2026-08-13,Магтеридон,Нагрудный доспех павшего заступника,245,unknown,,,не роздан авто — впиши получателя,9267442,29753
2026-08-13,Магтеридон,Повязки пожирателя душ,245,hands,Плоскость,main,,9267442,28780
2026-08-13,Магтеридон,Караборский талисман,245,one_hand,,,не роздан авто — впиши получателя,9267442,28781
2026-08-19,Король Молгар,Прошитый шнурованный ремень,260,waist,Жестканехилю,main,,9312979,81966
2026-08-19,Король Молгар,Кольчатый шлем нарушителя спокойствия,260,head,Серёжка,main,,9312979,90343
2026-08-19,Король Молгар,Молот верховного суда,260,one_hand,Мозол,main,,9312979,158816
2026-08-19,Король Молгар,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9312979,280005
2026-08-19,Груул Драконобой,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9313193,280005
2026-08-19,Груул Драконобой,Гранатовый пояс,260,waist,,,не роздан авто — впиши получателя,9313193,63779
2026-08-19,Груул Драконобой,Окровавленная кружка эля,260,trinket,Ligad,main,,9313193,63843
2026-08-19,Груул Драконобой,Инкрустированные ножи,260,ranged,Bloodkiss,off,авто счёл ОФФ — проверь,9313193,82218
2026-08-19,Магтеридон,Печать Пустоты,260,token,,,не роздан авто — впиши получателя,9314542,280005
2026-08-19,Магтеридон,Перчатки шепота,260,hands,Криптид,main,,9314542,82040
2026-08-19,Магтеридон,Вороненый головной покров нарушителя спокойствия,260,head,Нифертити,off,авто счёл ОФФ — проверь,9314542,90292
2026-08-19,Магтеридон,Посох небесного мага,260,two_hand,Колбассенкоо,main,,9314542,90378
2026-08-20,Король Молгар,Шаль поблекшего леса,260,back,Уменяжелапки,off,авто счёл ОФФ — проверь,9328537,81666
